,Avg. Hit Damage,Crit. Chance,Innate Enchant,Free Rings,Free Forges,Rings,Forges,Professions,Avg. Noncrit,Min Noncrit,Max Noncrit,Avg. Crit,Min Crit,Max Crit
0,240.278,0.158,"['Crit Power', 3]",4,0,"['Other', 'Other', 'Other', 'Other']","['Aquamarine', 'Aquamarine', 'Aquamarine']",['Fighter'],99.5,88,111,990.5,881,1100
1,276.871,0.158,"['Crit Power', 3]",4,0,"['Other', 'Other', 'Other', 'Other']","['Aquamarine', 'Aquamarine', 'Aquamarine']","['Fighter', 'Brute']",115.0,102,128,1139.5,1014,1265
2,281.96999999999997,0.237,"['Crit Power', 3]",4,0,"['Other', 'Other', 'Other', 'Other']","['Aquamarine', 'Aquamarine', 'Aquamarine']",['Scout'],90.0,80,100,900.0,800,1000
3,495.27,0.237,"['Crit Power', 3]",4,0,"['Other', 'Other', 'Other', 'Other']","['Aquamarine', 'Aquamarine', 'Aquamarine']","['Scout', 'Desperado']",90.0,80,100,1800.0,1600,2000
4,321.68240000000003,0.1896,"['Crit Power', 3]",0,0,"['Aquamarine', 'Aquamarine', 'Iridium', 'Iridium']","['Aquamarine', 'Aquamarine', 'Aquamarine']",['Fighter'],119.0,106,132,1188.0,1056,1320
5,370.1132,0.1896,"['Crit Power', 3]",0,0,"['Aquamarine', 'Aquamarine', 'Iridium', 'Iridium']","['Aquamarine', 'Aquamarine', 'Aquamarine']","['Fighter', 'Brute']",137.0,122,152,1366.5,1215,1518
6,384.4368,0.2844,"['Crit Power', 3]",0,0,"['Aquamarine', 'Aquamarine', 'Iridium', 'Iridium']","['Aquamarine', 'Aquamarine', 'Aquamarine']",['Scout'],108.0,96,120,1080.0,960,1200
7,691.5888,0.2844,"['Crit Power', 3]",0,0,"['Aquamarine', 'Aquamarine', 'Iridium', 'Iridium']","['Aquamarine', 'Aquamarine', 'Aquamarine']","['Scout', 'Desperado']",108.0,96,120,2160.0,1920,2400
8,313.0477,0.1738,"['Crit Power', 3]",0,0,"['Aquamarine', 'Iridium', 'Iridium', 'Jade']","['Aquamarine', 'Aquamarine', 'Aquamarine']",['Fighter'],119.0,106,132,1235.5,1098,1373
9,360.15920000000006,0.1738,"['Crit Power', 3]",0,0,"['Aquamarine', 'Iridium', 'Iridium', 'Jade']","['Aquamarine', 'Aquamarine', 'Aquamarine']","['Fighter', 'Brute']",137.0,122,152,1421.0,1263,1579
10,372.61050000000006,0.26070000000000004,"['Crit Power', 3]",0,0,"['Aquamarine', 'Iridium', 'Iridium', 'Jade']","['Aquamarine', 'Aquamarine', 'Aquamarine']",['Scout'],108.0,96,120,1123.0,998,1248
11,665.3766,0.26070000000000004,"['Crit Power', 3]",0,0,"['Aquamarine', 'Iridium', 'Iridium', 'Jade']","['Aquamarine', 'Aquamarine', 'Aquamarine']","['Scout', 'Desperado']",108.0,96,120,2246.0,1996,2496
12,302.912,0.158,"['Crit Power', 3]",0,0,"['Iridium', 'Iridium', 'Jade', 'Jade']","['Aquamarine', 'Aquamarine', 'Aquamarine']",['Fighter'],119.0,106,132,1283.0,1140,1426
13,348.483,0.158,"['Crit Power', 3]",0,0,"['Iridium', 'Iridium', 'Jade', 'Jade']","['Aquamarine', 'Aquamarine', 'Aquamarine']","['Fighter', 'Brute']",137.0,122,152,1475.5,1311,1640
14,358.746,0.237,"['Crit Power', 3]",0,0,"['Iridium', 'Iridium', 'Jade', 'Jade']","['Aquamarine', 'Aquamarine', 'Aquamarine']",['Scout'],108.0,96,120,1166.0,1036,1296
15,635.088,0.237,"['Crit Power', 3]",0,0,"['Iridium', 'Iridium', 'Jade', 'Jade']","['Aquamarine', 'Aquamarine', 'Aquamarine']","['Scout', 'Desperado']",108.0,96,120,2332.0,2072,2592
16,330.3473,0.1738,"['Crit Power', 3]",0,0,"['Aquamarine', 'Iridium', 'Iridium', 'Ruby']","['Aquamarine', 'Aquamarine', 'Aquamarine']",['Fighter'],129.0,115,143,1287.5,1144,1431
17,380.50160000000005,0.1738,"['Crit Power', 3]",0,0,"['Aquamarine', 'Iridium', 'Iridium', 'Ruby']","['Aquamarine', 'Aquamarine', 'Aquamarine']","['Fighter', 'Brute']",149.0,133,165,1481.0,1316,1646
18,391.5171,0.26070000000000004,"['Crit Power', 3]",0,0,"['Aquamarine', 'Iridium', 'Iridium', 'Ruby']","['Aquamarine', 'Aquamarine', 'Aquamarine']",['Scout'],117.0,104,130,1170.0,1040,1300
19,696.5361000000001,0.26070000000000004,"['Crit Power', 3]",0,0,"['Aquamarine', 'Iridium', 'Iridium', 'Ruby']","['Aquamarine', 'Aquamarine', 'Aquamarine']","['Scout', 'Desperado']",117.0,104,130,2340.0,2080,2600
20,320.18,0.158,"['Crit Power', 3]",0,0,"['Iridium', 'Iridium', 'Jade', 'Ruby']","['Aquamarine', 'Aquamarine', 'Aquamarine']",['Fighter'],129.0,115,143,1339.0,1190,1488
21,368.85699999999997,0.158,"['Crit Power', 3]",0,0,"['Iridium', 'Iridium', 'Jade', 'Ruby']","['Aquamarine', 'Aquamarine', 'Aquamarine']","['Fighter', 'Brute']",149.0,133,165,1540.5,1369,1712
22,377.5815,0.237,"['Crit Power', 3]",0,0,"['Iridium', 'Iridium', 'Jade', 'Ruby']","['Aquamarine', 'Aquamarine', 'Aquamarine']",['Scout'],117.0,104,130,1216.5,1081,1352
23,665.8919999999999,0.237,"['Crit Power', 3]",0,0,"['Iridium', 'Iridium', 'Jade', 'Ruby']","['Aquamarine', 'Aquamarine', 'Aquamarine']","['Scout', 'Desperado']",117.0,104,130,2433.0,2162,2704
24,336.105,0.158,"['Crit Power', 3]",0,0,"['Iridium', 'Iridium', 'Ruby', 'Ruby']","['Aquamarine', 'Aquamarine', 'Aquamarine']",['Fighter'],139.0,124,154,1386.5,1232,1541
25,387.15099999999995,0.158,"['Crit Power', 3]",0,0,"['Iridium', 'Iridium', 'Ruby', 'Ruby']","['Aquamarine', 'Aquamarine', 'Aquamarine']","['Fighter', 'Brute']",160.5,143,178,1595.0,1417,1773
26,394.75800000000004,0.237,"['Crit Power', 3]",0,0,"['Iridium', 'Iridium', 'Ruby', 'Ruby']","['Aquamarine', 'Aquamarine', 'Aquamarine']",['Scout'],126.0,112,140,1260.0,1120,1400
27,693.378,0.237,"['Crit Power', 3]",0,0,"['Iridium', 'Iridium', 'Ruby', 'Ruby']","['Aquamarine', 'Aquamarine', 'Aquamarine']","['Scout', 'Desperado']",126.0,112,140,2520.0,2240,2800
28,309.437005,0.178145,"['Crit Power', 3]",0,0,"['Aquamarine', 'Iridium', 'Iridium', 'Lucky']","['Aquamarine', 'Aquamarine', 'Aquamarine']",['Fighter'],119.0,106,132,1188.0,1056,1320
29,356.0292775,0.178145,"['Crit Power', 3]",0,0,"['Aquamarine', 'Iridium', 'Iridium', 'Lucky']","['Aquamarine', 'Aquamarine', 'Aquamarine']","['Fighter', 'Brute']",137.0,122,152,1366.5,1215,1518
30,367.73541,0.2672175,"['Crit Power', 3]",0,0,"['Aquamarine', 'Iridium', 'Iridium', 'Lucky']","['Aquamarine', 'Aquamarine', 'Aquamarine']",['Scout'],108.0,96,120,1080.0,960,1200
31,656.33031,0.2672175,"['Crit Power', 3]",0,0,"['Aquamarine', 'Iridium', 'Iridium', 'Lucky']","['Aquamarine', 'Aquamarine', 'Aquamarine']","['Scout', 'Desperado']",108.0,96,120,2160.0,1920,2400
32,299.81717499999996,0.16194999999999998,"['Crit Power', 3]",0,0,"['Iridium', 'Iridium', 'Jade', 'Lucky']","['Aquamarine', 'Aquamarine', 'Aquamarine']",['Fighter'],119.0,106,132,1235.5,1098,1373
33,344.9438,0.16194999999999998,"['Crit Power', 3]",0,0,"['Iridium', 'Iridium', 'Jade', 'Lucky']","['Aquamarine', 'Aquamarine', 'Aquamarine']","['Fighter', 'Brute']",137.0,122,152,1421.0,1263,1579
34,354.56887499999993,0.24292499999999997,"['Crit Power', 3]",0,0,"['Iridium', 'Iridium', 'Jade', 'Lucky']","['Aquamarine', 'Aquamarine', 'Aquamarine']",['Scout'],108.0,96,120,1123.0,998,1248
35,627.3736499999999,0.24292499999999997,"['Crit Power', 3]",0,0,"['Iridium', 'Iridium', 'Jade', 'Lucky']","['Aquamarine', 'Aquamarine', 'Aquamarine']","['Scout', 'Desperado']",108.0,96,120,2246.0,1996,2496
36,316.61907499999995,0.16194999999999998,"['Crit Power', 3]",0,0,"['Iridium', 'Iridium', 'Lucky', 'Ruby']","['Aquamarine', 'Aquamarine', 'Aquamarine']",['Fighter'],129.0,115,143,1287.5,1144,1431
37,364.7174,0.16194999999999998,"['Crit Power', 3]",0,0,"['Iridium', 'Iridium', 'Lucky', 'Ruby']","['Aquamarine', 'Aquamarine', 'Aquamarine']","['Fighter', 'Brute']",149.0,133,165,1481.0,1316,1646
38,372.800025,0.24292499999999997,"['Crit Power', 3]",0,0,"['Iridium', 'Iridium', 'Lucky', 'Ruby']","['Aquamarine', 'Aquamarine', 'Aquamarine']",['Scout'],117.0,104,130,1170.0,1040,1300
