,Avg. Hit Damage,Crit. Chance,Innate Enchant,Free Rings,Free Forges,Rings,Forges,Professions,Avg. Noncrit,Min Noncrit,Max Noncrit,Avg. Crit,Min Crit,Max Crit
0,116.30799999999999,0.158,"['N/A', 0]",4,0,"['Other', 'Other', 'Other', 'Other']","['Aquamarine', 'Aquamarine', 'Aquamarine']",['Fighter'],88.5,77,100,264.5,232,297
1,133.995,0.158,"['N/A', 0]",4,0,"['Other', 'Other', 'Other', 'Other']","['Aquamarine', 'Aquamarine', 'Aquamarine']","['Fighter', 'Brute']",102.0,89,115,304.5,267,342
2,117.91999999999999,0.237,"['N/A', 0]",4,0,"['Other', 'Other', 'Other', 'Other']","['Aquamarine', 'Aquamarine', 'Aquamarine']",['Scout'],80.0,70,90,240.0,210,270
3,174.79999999999998,0.237,"['N/A', 0]",4,0,"['Other', 'Other', 'Other', 'Other']","['Aquamarine', 'Aquamarine', 'Aquamarine']","['Scout', 'Desperado']",80.0,70,90,480.0,420,540
4,146.1004,0.1896,"['N/A', 0]",0,0,"['Aquamarine', 'Aquamarine', 'Iridium', 'Iridium']","['Aquamarine', 'Aquamarine', 'Aquamarine']",['Fighter'],106.0,93,119,317.5,278,357
5,168.1676,0.1896,"['N/A', 0]",0,0,"['Aquamarine', 'Aquamarine', 'Iridium', 'Iridium']","['Aquamarine', 'Aquamarine', 'Aquamarine']","['Fighter', 'Brute']",122.0,107,137,365.5,320,411
6,150.60479999999998,0.2844,"['N/A', 0]",0,0,"['Aquamarine', 'Aquamarine', 'Iridium', 'Iridium']","['Aquamarine', 'Aquamarine', 'Aquamarine']",['Scout'],96.0,84,108,288.0,252,324
7,232.51199999999997,0.2844,"['N/A', 0]",0,0,"['Aquamarine', 'Aquamarine', 'Iridium', 'Iridium']","['Aquamarine', 'Aquamarine', 'Aquamarine']","['Scout', 'Desperado']",96.0,84,108,576.0,504,648
8,148.1465,0.1738,"['N/A', 0]",0,0,"['Aquamarine', 'Iridium', 'Iridium', 'Jade']","['Aquamarine', 'Aquamarine', 'Aquamarine']",['Fighter'],106.0,93,119,348.5,305,392
9,170.49020000000002,0.1738,"['N/A', 0]",0,0,"['Aquamarine', 'Iridium', 'Iridium', 'Jade']","['Aquamarine', 'Aquamarine', 'Aquamarine']","['Fighter', 'Brute']",122.0,107,137,401.0,351,451
10,153.48435,0.26070000000000004,"['N/A', 0]",0,0,"['Aquamarine', 'Iridium', 'Iridium', 'Jade']","['Aquamarine', 'Aquamarine', 'Aquamarine']",['Scout'],96.0,84,108,316.5,277,356
11,235.9959,0.26070000000000004,"['N/A', 0]",0,0,"['Aquamarine', 'Iridium', 'Iridium', 'Jade']","['Aquamarine', 'Aquamarine', 'Aquamarine']","['Scout', 'Desperado']",96.0,84,108,633.0,554,712
12,149.292,0.158,"['N/A', 0]",0,0,"['Iridium', 'Iridium', 'Jade', 'Jade']","['Aquamarine', 'Aquamarine', 'Aquamarine']",['Fighter'],106.0,93,119,380.0,333,427
13,171.849,0.158,"['N/A', 0]",0,0,"['Iridium', 'Iridium', 'Jade', 'Jade']","['Aquamarine', 'Aquamarine', 'Aquamarine']","['Fighter', 'Brute']",122.0,107,137,437.5,383,492
14,155.013,0.237,"['N/A', 0]",0,0,"['Iridium', 'Iridium', 'Jade', 'Jade']","['Aquamarine', 'Aquamarine', 'Aquamarine']",['Scout'],96.0,84,108,345.0,302,388
15,236.77800000000002,0.237,"['N/A', 0]",0,0,"['Iridium', 'Iridium', 'Jade', 'Jade']","['Aquamarine', 'Aquamarine', 'Aquamarine']","['Scout', 'Desperado']",96.0,84,108,690.0,604,776
16,154.80020000000002,0.1738,"['N/A', 0]",0,0,"['Aquamarine', 'Iridium', 'Iridium', 'Ruby']","['Aquamarine', 'Aquamarine', 'Aquamarine']",['Fighter'],115.0,101,129,344.0,301,387
17,178.79630000000003,0.1738,"['N/A', 0]",0,0,"['Aquamarine', 'Iridium', 'Iridium', 'Ruby']","['Aquamarine', 'Aquamarine', 'Aquamarine']","['Fighter', 'Brute']",133.0,117,149,396.5,347,446
18,158.2256,0.26070000000000004,"['N/A', 0]",0,0,"['Aquamarine', 'Iridium', 'Iridium', 'Ruby']","['Aquamarine', 'Aquamarine', 'Aquamarine']",['Scout'],104.0,91,117,312.0,273,351
19,239.56400000000002,0.26070000000000004,"['N/A', 0]",0,0,"['Aquamarine', 'Iridium', 'Iridium', 'Ruby']","['Aquamarine', 'Aquamarine', 'Aquamarine']","['Scout', 'Desperado']",104.0,91,117,624.0,546,702
20,156.475,0.158,"['N/A', 0]",0,0,"['Iridium', 'Iridium', 'Jade', 'Ruby']","['Aquamarine', 'Aquamarine', 'Aquamarine']",['Fighter'],115.0,101,129,377.5,330,425
21,180.637,0.158,"['N/A', 0]",0,0,"['Iridium', 'Iridium', 'Jade', 'Ruby']","['Aquamarine', 'Aquamarine', 'Aquamarine']","['Fighter', 'Brute']",133.0,117,149,434.5,380,489
22,160.643,0.237,"['N/A', 0]",0,0,"['Iridium', 'Iridium', 'Jade', 'Ruby']","['Aquamarine', 'Aquamarine', 'Aquamarine']",['Scout'],104.0,91,117,343.0,300,386
23,241.934,0.237,"['N/A', 0]",0,0,"['Iridium', 'Iridium', 'Jade', 'Ruby']","['Aquamarine', 'Aquamarine', 'Aquamarine']","['Scout', 'Desperado']",104.0,91,117,686.0,600,772
24,161.789,0.158,"['N/A', 0]",0,0,"['Iridium', 'Iridium', 'Ruby', 'Ruby']","['Aquamarine', 'Aquamarine', 'Aquamarine']",['Fighter'],123.0,108,138,368.5,324,413
25,186.55599999999998,0.158,"['N/A', 0]",0,0,"['Iridium', 'Iridium', 'Ruby', 'Ruby']","['Aquamarine', 'Aquamarine', 'Aquamarine']","['Fighter', 'Brute']",142.0,125,159,424.0,373,475
26,164.351,0.237,"['N/A', 0]",0,0,"['Iridium', 'Iridium', 'Ruby', 'Ruby']","['Aquamarine', 'Aquamarine', 'Aquamarine']",['Scout'],111.5,98,125,334.5,294,375
27,243.6275,0.237,"['N/A', 0]",0,0,"['Iridium', 'Iridium', 'Ruby', 'Ruby']","['Aquamarine', 'Aquamarine', 'Aquamarine']","['Scout', 'Desperado']",111.5,98,125,669.0,588,750
28,143.67766749999998,0.178145,"['N/A', 0]",0,0,"['Aquamarine', 'Iridium', 'Iridium', 'Lucky']","['Aquamarine', 'Aquamarine', 'Aquamarine']",['Fighter'],106.0,93,119,317.5,278,357
