,Avg. Hit Damage,Crit. Chance,Innate Enchant,Free Rings,Free Forges,Rings,Forges,Professions,Avg. Noncrit,Min Noncrit,Max Noncrit,Avg. Crit,Min Crit,Max Crit
0,101.411,0.158,"['N/A', 0]",4,0,"['Other', 'Other', 'Other', 'Other']","['Aquamarine', 'Aquamarine', 'Aquamarine']",['Fighter'],77.0,66,88,231.5,199,264
1,117.045,0.158,"['N/A', 0]",4,0,"['Other', 'Other', 'Other', 'Other']","['Aquamarine', 'Aquamarine', 'Aquamarine']","['Fighter', 'Brute']",89.0,76,102,266.5,229,304
2,103.18,0.237,"['N/A', 0]",4,0,"['Other', 'Other', 'Other', 'Other']","['Aquamarine', 'Aquamarine', 'Aquamarine']",['Scout'],70.0,60,80,210.0,180,240
3,152.95,0.237,"['N/A', 0]",4,0,"['Other', 'Other', 'Other', 'Other']","['Aquamarine', 'Aquamarine', 'Aquamarine']","['Scout', 'Desperado']",70.0,60,80,420.0,360,480
4,127.9812,0.1896,"['N/A', 0]",0,0,"['Aquamarine', 'Aquamarine', 'Iridium', 'Iridium']","['Aquamarine', 'Aquamarine', 'Aquamarine']",['Fighter'],93.0,80,106,277.5,238,317
5,147.29,0.1896,"['N/A', 0]",0,0,"['Aquamarine', 'Aquamarine', 'Iridium', 'Iridium']","['Aquamarine', 'Aquamarine', 'Aquamarine']","['Fighter', 'Brute']",107.0,92,122,319.5,274,365
6,131.7792,0.2844,"['N/A', 0]",0,0,"['Aquamarine', 'Aquamarine', 'Iridium', 'Iridium']","['Aquamarine', 'Aquamarine', 'Aquamarine']",['Scout'],84.0,72,96,252.0,216,288
7,203.44799999999998,0.2844,"['N/A', 0]",0,0,"['Aquamarine', 'Aquamarine', 'Iridium', 'Iridium']","['Aquamarine', 'Aquamarine', 'Aquamarine']","['Scout', 'Desperado']",84.0,72,96,504.0,432,576
8,129.7587,0.1738,"['N/A', 0]",0,0,"['Aquamarine', 'Iridium', 'Iridium', 'Jade']","['Aquamarine', 'Aquamarine', 'Aquamarine']",['Fighter'],93.0,80,106,304.5,261,348
9,149.40720000000002,0.1738,"['N/A', 0]",0,0,"['Aquamarine', 'Iridium', 'Iridium', 'Jade']","['Aquamarine', 'Aquamarine', 'Aquamarine']","['Fighter', 'Brute']",107.0,92,122,351.0,301,401
